Node1,Node2,Co-occurrence,Strength,NetworkPass1,Order,NetworkPass2Node1,NetworkPass2Node2,,,,
Analysis,Tools,7,7.98E-05,0,0,0,0,,,,
Database,UserInterface,1,0.001098901,0,0,0,0,,,,
Excel,RDBMS,1,8.26E-04,0,0,0,0,,,,
Agile,Network,5,3.08E-04,0,0,0,0,,,,
Design,EDI,4,3.16E-04,0,0,0,0,,,,
Analyst,Troubleshooting,1,3.71E-05,0,0,0,0,,,,
Reporting,Design,36,1.34E-04,0,0,0,0,,,,
Network,RelationalDatabase,1,1.18E-04,0,0,0,0,,,,
SAS,Tools,6,1.71E-04,0,0,0,0,,,,
Marketing,MsAccess,1,1.89E-05,0,0,0,0,,,,
Agile,GO,2,1.55E-04,0,0,0,0,,,,
BusinessIntelligence,Developer,1,5.53E-06,0,0,0,0,,,,
Administrator,C+,1,0.005882353,0,0,0,0,,,,
SSRS,SSIS,2,0.049382716,0,0,0,0,,,,
GO,Security,2,6.17E-04,0,0,0,0,,,,
SQL,Architect,3,7.31E-05,0,0,0,0,,,,
Prototype,Modeling,1,0.008333334,0,0,0,0,,,,
SPSS,Hadoop,1,5.41E-05,0,0,0,0,,,,
Tableau,Math,3,0.016666668,0,0,0,0,,,,
Hadoop,jQuery,1,0.001190476,0,0,0,0,,,,
Analytic,ComputerScience,7,3.02E-04,0,0,0,0,,,,
Analyst,Windows,6,3.71E-05,0,0,0,0,,,,
Analysis,Statistics,22,6.10E-04,0,0,0,0,,,,
Cloud,RDBMS,1,0.047619049,0,0,0,0,,,,
Finance,CSS,1,6.25E-05,0,0,0,0,,,,
Analyst,SoftwareEngineering,1,1.86E-05,0,0,0,0,,,,
BusinessObjects,OLAP,1,0.010416667,0,0,0,0,,,,
SAS,Statistics,18,0.001189847,2,3,0,0,,,,
HTML,JavaScript,3,0.0125,0,0,0,0,,,,
Analyst,BigData,5,8.28E-06,0,0,0,0,,,,
DataManagement,Pentaho,1,0.001893939,0,0,0,0,,,,
Analyst,C++,3,2.78E-05,0,0,0,0,,,,
Assurance,SharePoint,1,2.69E-05,0,0,0,0,,,,
Visio,Shell,1,0.06666667,0,0,0,0,,,,
C,Statistics,3,4.21E-04,0,0,0,0,,,,
Database,Developer,3,9.16E-05,0,0,0,0,,,,
Analytic,Couchbase,1,2.96E-04,0,0,0,0,,,,
DataManagement,DataWarehouse,1,4.21E-04,0,0,0,0,,,,
MsOffice,CustomerSupport,2,3.97E-04,0,0,0,0,,,,
SAS,MsOffice,8,1.52E-04,0,0,0,0,,,,
SQL,Analytics,40,1.18E-04,0,0,0,0,,,,
Database,Swift,1,7.33E-04,0,0,0,0,,,,
Analysis,MsOffice,12,1.17E-04,5,2,0,0,,,,
