Node1,Node2,Co-occurrence,Strength,NetworkPass1,Order,NetworkPass2Node1,NetworkPass2Node2,,,,
Analyst,UX,1,8.16E-05,0,0,0,0,,,,
Database,Finance,2,2.50E-04,7,1,0,0,,,,
Design,Scrum,1,5.58E-04,0,0,0,0,,,,
StatisticalAnalysis,CRM,1,0.00245098,0,0,0,0,,,,
Storage,Indexing,1,1,0,0,0,0,,,,
Excel,BusinessIntelligence,3,9.68E-04,0,0,0,1,,,,
SAS,SQL,2,2.57E-04,0,0,0,0,,,,
Marketing,UX,1,3.33E-04,0,0,0,0,,,,
Programming,Analytics,1,4.57E-04,0,0,0,0,,,,
Reporting,Design,2,5.67E-05,0,0,0,0,,,,
Development,VMware,1,0.001373626,0,0,0,0,,,,
Agile,GO,1,0.007575758,0,0,0,0,,,,
SQL,Analysis,1,1.16E-05,0,0,0,0,,,,
Analyst,Storage,1,4.08E-04,0,0,0,0,,,,
SQL,C,1,2.31E-04,0,0,0,0,,,,
SQL,Architect,1,0.001028807,0,0,0,0,,,,
SPSS,Hadoop,1,0.004545454,0,0,0,0,,,,
Marketing,StatisticalAnalysis,1,2.78E-04,0,0,0,0,,,,
Analytic,Reporting,1,1.69E-05,0,0,0,0,,,,
Assurance,Agile,1,0.002840909,0,0,0,0,,,,
SAS,Pig,1,0.006944444,0,0,0,0,,,,
Development,Scrum,1,1.72E-04,0,0,0,0,,,,
Analytic,ProjectManagement,1,1.77E-04,0,0,0,0,,,,
Analyst,Windows,2,1.36E-04,2,3,0,0,,,,
Analysis,Statistics,2,5.59E-04,0,0,0,0,,,,
SPSS,BusinessIntelligence,1,4.89E-04,0,0,0,0,,,,
Design,JavaScript,1,5.58E-04,0,0,0,0,,,,
Analytics,UX,1,9.13E-04,0,0,0,0,,,,
Assurance,Finance,1,7.62E-05,0,0,0,0,,,,
Oracle,MATLAB,1,0.017857144,0,0,0,0,,,,
SAS,Statistics,2,0.00308642,0,0,1,1,,,,
Excel,Database,1,2.56E-04,0,0,0,0,,,,
HTML,JavaScript,1,0.041666668,0,0,0,0,,,,
Monitoring,Oracle,1,0.00140056,0,0,0,0,,,,
Design,ProjectManagement,3,0.001339286,5,3,0,0,,,,
Analytic,JavaScript,1,6.65E-04,0,0,0,0,,,,
Monitoring,Network,1,2.42E-04,0,0,0,0,,,,
Analysis,BusinessObjects,1,2.10E-04,0,0,0,0,,,,
GO,Finance,1,2.03E-04,0,0,0,0,,,,
StatisticalAnalysis,Analytics,1,7.61E-04,0,0,0,0,,,,
Database,Developer,1,0.001424501,0,0,0,0,,,,
C,Statistics,1,0.002777778,0,0,0,0,,,,
Statistics,Architect,1,0.012345679,0,0,0,0,,,,
MsOffice,CustomerSupport,2,0.016666668,0,0,0,0,,,,
Analyst,DataAnalysis,1,1.36E-04,0,0,0,0,,,,
Marketing,Statistics,1,1.85E-04,0,0,0,0,,,,
Programming,SAS,1,6.94E-04,0,0,0,0,,,,
Monitoring,VersionControl,1,0.019607844,0,0,0,0,,,,
Reporting,Finance,2,3.10E-05,0,0,0,0,,,,
SQL,Analytics,2,1.69E-04,0,0,0,0,,,,
CRM,R,1,1.27E-04,0,0,0,0,,,,
Security,JavaScript,1,0.010416667,0,0,0,0,,,,
Reporting,Monitoring,1,6.22E-05,0,0,0,0,,,,
Development,BusinessIntelligence,1,1.48E-05,0,0,0,0,,,,
C,MsOffice,1,0.002083333,0,0,0,0,,,,
Reporting,MATLAB,1,7.94E-04,0,0,0,0,,,,
Analyst,R,3,3.17E-05,0,0,0,0,,,,
Analytics,Statistics,2,0.002029427,0,0,1,0,,,,
Analysis,UX,1,2.52E-04,0,0,0,0,,,,
Development,Database,2,1.41E-04,0,0,0,1,,,,
StatisticalAnalysis,Architect,1,0.018518519,0,0,0,0,,,,
Visio,BusinessObjects,1,0.166666672,0,0,0,0,,,,
Analytic,Oracle,2,0.001519757,4,3,0,0,,,,
Cloud,VMware,1,0.142857149,0,0,0,0,,,,
StatisticalAnalysis,C,1,0.004166667,0,0,0,0,,,,
R,DataWarehouse,1,9.58E-04,0,0,0,0,,,,
